ElementName	DataType	Size	Required	ElementDescription	ValueRange	Notes	Aliases
bapq_q31	Integer	N/A	Recommended	I perfer to be alone rather than with others	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q31_f	bapq_q31_i_f	bapq_q31_i_m	bapq_q31_m	bapq_raw_q31_prefer_to_be_alone	q31_prefer_to_be_alone"
bapq_q32	Integer	N/A	Recommended	I lose track of my original point when talking to people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q32_f	bapq_q32_i_f	bapq_q32_i_m	bapq_q32_m	bapq_raw_q32_lose_track_of_point	q32_lose_track_of_point"
bapq_q33	Integer	N/A	Recommended	I like to closely follow a routine while working	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q33_f	bapq_q33_i_f	bapq_q33_i_m	bapq_q33_m	bapq_raw_q33_closely_follow_routine	q33_closely_follow_routine"
bapq_q34	Integer	N/A	Recommended	I can tell when it is time to change topics in coversation	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q34_f	bapq_q34_i_f	bapq_q34_i_m	bapq_q34_m	bapq_raw_q34_time_to_change_topics	q34_time_to_change_topics"
bapq_q34_reversed	Integer	N/A	Recommended	I can tell when it is time to change topics in coversation - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q34_time_to_change_topics_r
bapq_q35	Integer	N/A	Recommended	"""I keep doing things the way I know	 even if another way might be better"""	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q35_f	bapq_q35_i_f	bapq_q35_i_m	bapq_q35_m	bapq_raw_q35_keep_doing_things_same	q35_keep_doing_things_same"
bapq_q36	Integer	N/A	Recommended	I enjoy chatting with people	1;2;3;4;5;6;999	1 = Very rarely; 2 = Rarely; 3 = Occasionally; 4 = Somewhat often; 5 = Often; 6 = Very often; 999=Prefer not to answer/Left blank	"bapq_q36_f	bapq_q36_i_f	bapq_q36_i_m	bapq_q36_m	bapq_raw_q36_enjoy_chatting	q36_enjoy_chatting"
bapq_q36_reversed	Integer	N/A	Recommended	I enjoy chatting with people - reverse scoring	1;2;3;4;5;6;999	1 = Very often; 2 = Often; 3 = Somewhat often; 4 = Occasionally; 5 = Rarely; 1 = Very rarely; 999=Prefer not to answer/Left blank	q36_enjoy_chatting_r
bapq_aloof	Integer	N/A	Recommended	BAPQ Aloof subscale total	0 :: 72	N/A	"aloof	aloof	bapq_aloof_f	bapq_aloof_i_f	bapq_aloof_i_m	bapq_aloof_m"
bapq_aloof_ave	Float	N/A	Recommended	BAPQ Aloof subscale average	N/A	N/A	"aloof_average	aloof_average	bapq_aloof_ave_f	bapq_aloof_ave_i_f	bapq_aloof_ave_i_m	bapq_aloof_ave_m"
bapq_prag_lang	Integer	N/A	Recommended	BAPQ Pragmatic Langauge subscale total	0 ::72	N/A	"bapq_prag_f	bapq_prag_i_m	bapq_prag_lang_m	bapq_rigid_i_f	pragmatic	pragmatic"
bapq_prag_lang_ave	Float	N/A	Recommended	BAPQ Pragmatic Langauge subscale average	N/A	N/A	"bapq_prag_ave_f	bapq_prag_ave_i_m	bapq_prag_lang_ave_m	bapq_rigid_ave_i_f	pragmatic_average	pragmatic_average"
bapq_rigid_subscale	Integer	N/A	Required	BAPQ Rigid subscale total	0 :: 72; 999	N/A	"BAPQ_Rigid	bapq_prag_i_f	bapq_rigid_f	bapq_rigid_i_m	bapq_rigid_m	rigid	rigid"
bapq_rigid_subscale_ave	Float	N/A	Recommended	BAPQ Rigid subscale average	N/A	N/A	"BAPQ_Rigid_Ave	bapq_prag_ave_i_f	bapq_rigid_ave_f	bapq_rigid_ave_i_m	bapq_rigid_ave_m	rigid_average	rigid_average"
bapq_total	Integer	N/A	Required	BAPQ Total	0 :: 216; 999	N/A	"bapq_total_f	bapq_total_i	bapq_total_i_m	bapq_total_m	total	total"
bapq_total_ave	Float	N/A	Recommended	BAPQ Total average	N/A	N/A	"average	bapq_total_ave_f	bapq_total_ave_i	bapq_total_ave_i_m	bapq_total_ave_m"
rel_to_proband_other	String	25	Recommended	The relationship of this individual to the Proband other specified	N/A	N/A	N/A
bapq_completed_by_other	String	25	Recommended	The relationship of the individual who this BAPQ is about to the individual who completed this BAPQ other specified	N/A	N/A	"bapq_inform_rel_oth_f	bapq_inform_rel_oth_m"
time_first_click	String	11	Recommended	Time at first click	N/A	HH:MM:SS AM/PM	bapq_p1_time_first_click
time_last_click	String	11	Recommended	Time at last click	N/A	HH:MM:SS AM/PM	bapq_p1_time_last_click
time_page_submit	String	11	Recommended	Time at scale submission	N/A	HH:MM:SS AM/PM	bapq_p1_time_page_submit
time_click_count	Integer	N/A	Recommended	(Total) Number of clicks during scale completion	N/A	N/A	bapq_p1_time_click_count
qc_tot_num_items	Integer	N/A	Recommended	Quality Control (QC) (total) number of items (completed)	N/A	N/A	qc_bapq_tot_num_items
qc_tot_num_nonresp	Integer	N/A	Recommended	Quality Control (QC) (total) number of non-response items	N/A	N/A	qc_bapq_tot_num_nonresp
qc_bapq_aloof_num_items	Integer	N/A	Recommended	Quality Control (QC) BAPQ Aloof subscale number of items	N/A	N/A	N/A
qc_bapq_aloof_num_nonresp	Integer	N/A	Recommended	Quality Control (QC) BAPQ Aloof subscale number of nonresponse items	N/A	N/A	N/A
qc_bapq_rigid_num_items	Integer	N/A	Recommended	Quality Control (QC) BAPQ Rigid subscale number of items	N/A	N/A	N/A
qc_bapq_rigid_num_nonresp	Integer	N/A	Recommended	Quality Control (QC) BAPQ Rigid subscale number of nonresponse items	N/A	N/A	N/A
qc_bapq_prag_num_items	Integer	N/A	Recommended	Quality Control (QC) BAPQ Pragmatic Language subscale number of items	N/A	N/A	N/A
qc_bapq_prag_num_nonresp	Integer	N/A	Recommended	Quality Control (QC) BAPQ Pragmatic Language subscale number of nonresponse items	N/A	N/A	N/A
tot_timing	Float	N/A	Recommended	Total timing/time to complete scale	N/A	In minutes	bapq_tot_timing
subjectkey	GUID	N/A	Required	The NDAR Global Unique Identifier (GUID) for research subject	NDAR*	N/A	nimhid
src_subject_id	String	20	Required	Subject ID how it's defined in lab/project	N/A	N/A	ptid
interview_date	Date	N/A	Required	Date on which the interview/genetic test/sampling/imaging/biospecimen was completed. MM/DD/YYYY	N/A	N/A	"date_bis	testdate"
interview_age	Integer	N/A	Required	Age in months at the time of the interview/test/sampling/imaging.	0::1440	"Age is rounded to chronological month. If the research participant is 15-days-old at time of interview	 the appropriate value would be 0 months. If the participant is 16-days-old	 the value would be 1 month."	age
sex	String	20	Required	Sex of subject at birth	M;F; O; NR	M = Male; F = Female; O=Other; NR = Not reported	gender
bis1	Integer	N/A	Recommended	I/They plan tasks carefully.	1 :: 4; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt1	bis_1	bis_11_01	bis_1r	bis_c01	bis_pac01	bis_teen_1	obis_11_s1"
bis2	Integer	N/A	Recommended	I/They do things without thinking.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm05	barratt2	bis_11_02	bis_2	bis_c02	bis_pac02	bis_teen_2	obis_11_s2"
bis3	Integer	N/A	Recommended	I/They make up my mind quickly.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm04	barratt3	bis_11_03	bis_3	bis_c03	bis_pac03	bis_teen_3	obis_11_s3"
bis4	Integer	N/A	Recommended	I/They am happy-go-lucky.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm07	barratt4	bis_11_04	bis_4	bis_c04	bis_pac04	bis_teen_4	obis_11_s4"
bis5	Integer	N/A	Recommended	"I/They don't ""pay attention."""	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca03	barratt5	bis_11_05	bis_5	bis_c05	bis_pac05	bis_teen_5	obis_11_s5"
bis6	Integer	N/A	Recommended	"I/They have ""racing"" thoughts."	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca07	barratt6	bis_11_06	bis_6	bis_c06	bis_pac06	bis_teen_6	obis_11_s6"
bis7	Integer	N/A	Recommended	I/They plan trips well ahead of time.	1 :: 4; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt7	bis_11_07	bis_7	bis_7r	bis_c07	bis_pac07	bis_teen_7	obis_11_s7"
bis8	Integer	N/A	Recommended	I/They am self controlled.	1 :: 4; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt8	bis_11_08	bis_8	bis_8r	bis_c08	bis_pac08	bis_teen_8	obis_11_s8"
bis9	Integer	N/A	Recommended	I/They concentrate easily.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always;444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca04	barratt9	bis_11_09	bis_9	bis_9r	bis_c09	bis_pac09	bis_teen_9	obis_11_s9"
bis10	Integer	N/A	Recommended	I/They save regularly.	1 :: 4; 555; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 555=Missing; 9999 = Prefer not to answer/Left blank	"barratt10	bis_10	bis_10r	bis_11_10	bis_c10	bis_pac10	bis_teen_10	obis_11_s10"
bis11	Integer	N/A	Recommended	"I/They ""squirm"" at plays or lectures."	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca01	barratt11	bis_11	bis_11_11	bis_c11	bis_pac11	bis_teen_11	obis_11_s11"
bis12	Integer	N/A	Recommended	I/They am a careful thinker.	1 :: 4; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt12	bis_11_12	bis_12	bis_12r	bis_c12	bis_pac12	bis_teen_12	obis_11_s12"
bis13	Integer	N/A	Recommended	I/They  plan for job security.	1 :: 4; 555; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 555=Missing; 9999 = Prefer not to answer/Left blank	"barratt13	bis_11_13	bis_13	bis_13r	bis_c13	bis_pac13	bis_teen_13	obis_11_s13"
bis14	Integer	N/A	Recommended	I/They say things without thinking.	1 :: 4; 9999	1= Rarely/Never; 2=Occasionally; 3=Often; 4= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt14	bis_11_14	bis_14	bis_c14	bis_pac14	bis_teen_14	obis_11_s14"
bis15	Integer	N/A	Recommended	I/They like to think about complex problems.	1 :: 4; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt15	bis_11_15	bis_15	bis_15r	bis_c15	bis_pac15	bis_teen_15	obis_11_s15"
bis16	Integer	N/A	Recommended	I/They change jobs.	1 :: 4; 9999	1= Rarely/Never; 2=Occasionally; 3=Often; 4= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt16	bis_11_16	bis_16	bis_c16	bis_pac16	bis_teen_16	obis_11_s16"
bis17	Integer	N/A	Recommended	"I/They act ""on impulse."""	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm01	barratt17	bis_11_17	bis_17	bis_c17	bis_pac17	bis_teen_17	obis_11_s17"
bis18	Integer	N/A	Recommended	I/They get easily bored when solving thought problems.	1 :: 4; 9999	1= Rarely/Never; 2=Occasionally; 3=Often; 4= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt18	bis_11_18	bis_18	bis_c18	bis_pac18	bis_teen_18	obis_11_s18"
bis19	Integer	N/A	Recommended	I/They act on the spur of the moment.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm02	barratt19	bis_11_19	bis_19	bis_c19	bis_pac19	bis_teen_19	obis_11_s19"
bis20	Integer	N/A	Recommended	I/They am a steady thinker.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always;444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca05	barratt20	bis_11_20	bis_20	bis_20r	bis_c20	bis_pac20	bis_teen_20	obis_11_s20"
bis21	Integer	N/A	Recommended	I/They change residences./ I change where I live	1 :: 4; 9999	1= Rarely/Never; 2=Occasionally; 3=Often; 4= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt21	bis_11_21	bis_21	bis_c21	bis_pac21	bis_teen_21	obis_11_s21"
bis22	Integer	N/A	Recommended	I/They buy things on impulse.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm03	barratt22	bis_11_22	bis_22	bis_c22	bis_pac22	bis_teen_22	obis_11_s22"
bis23	Integer	N/A	Recommended	I/They can only think about one thing at a time.	1 :: 4; 9999	1= Rarely/Never; 2=Occasionally; 3=Often; 4= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt23	bis_11_23	bis_23	bis_c23	bis_pac23	bis_teen_23	obis_11_s23"
bis24	Integer	N/A	Recommended	I/They change hobbies.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca08	barratt24	bis_11_24	bis_24	bis_c24	bis_pac24	bis_teen_24	obis_11_s24"
bis25	Integer	N/A	Recommended	I/They spend or charge more than I earn.	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"abm06	barratt25	bis_11_25	bis_25	bis_c25	bis_pac25	bis_teen_25	obis_11_s25"
bis26	Integer	N/A	Recommended	I/They often have extraneous thoughts when thinking./ I have outside thoughts while thinking	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca06	barratt26	bis_11_26	bis_26	bis_c26	bis_pac26	bis_teen_26	obis_11_s26"
bis27	Integer	N/A	Recommended	I/They am more interested in the present than the future.	1 :: 4; 9999	1= Rarely/Never; 2=Occasionally; 3=Often; 4= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt27	bis_11_27	bis_27	bis_c27	bis_pac27	bis_teen_27	obis_11_s27"
bis28	Integer	N/A	Recommended	I/They am restless at the theater or lectures./ I am restless at lectures or talks	1 :: 4 ; 444; 555; 777; 888; 999; 9999	1 = Rarely/Never; 2 = Occasionally; 3 = Often; 4 = Almost always/always; 444 = Do not wish to respond;999 = No Answer; 888 = Skipped; 777 = Condition Skipped; 555 = Missing; 9999 = Prefer not to answer/Left blank	"aca02	barratt28	bis_11_28	bis_28	bis_c28	bis_pac28	bis_teen_28	obis_11_s28"
bis29	Integer	N/A	Recommended	I/They like puzzles.	1 :: 4; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 9999 = Prefer not to answer/Left blank	"barratt29	bis_11_29	bis_29	bis_29r	bis_c29	bis_pac29	bis_teen_29	obis_11_s29"
bis30	Integer	N/A	Recommended	I/They am future oriented./ I plan for the future	1 :: 4; 555; 9999	4= Rarely/Never; 3=Occasionally; 2=Often; 1= Almost Always/Always; 555=Missing; 9999 = Prefer not to answer/Left blank	"barratt30	bis_11_30	bis_30	bis_30r	bis_c30	bis_pac30	bis_teen_30	obis_11_s30"
bis_total	Integer	N/A	Required	BIS total score	N/A	999=NA/NK/missing	o_bis_total
bis_f1	Integer	N/A	Recommended	Factor 1. Attention	N/A	N/A	"barratt_attentional_attention	bis_1atten	bis_atten	bis_attentional	o_bis_f1"
bis_f2	Integer	N/A	Recommended	Factor 2. Motor impulsiveness	N/A	N/A	"barratt_motor_motor	bis_1mot	bis_motor	o_bis_f2"
bis_f3	Integer	N/A	Recommended	Factor 3. Self-control	N/A	N/A	"barratt_nonplanning_sc	bis_1sc	o_bis_f3"
bis_f4	Integer	N/A	Recommended	Factor 4. Cognitive complexity	N/A	N/A	"barratt_nonplanning_cogcom	bis_1cogcom	o_bis_f4"
bis_f5	Integer	N/A	Recommended	Factor 5. Perseverance	N/A	N/A	"barratt_motor_perseverance	bis_1pers	o_bis_f5"
bis_f6	Integer	N/A	Recommended	Factor 6. Cognitive instability	N/A	N/A	"barratt_attentional_coginstab	bis_1coginst	o_bis_f6"
bis_fi	Integer	N/A	Recommended	Factor I. Attentional Impulsiveness	N/A	"sum of 5	 6	 9	  11	 20	 24	 26	 28"	"bis_2attimp	o_bis_fi"
bis_fii	Integer	N/A	Recommended	Factor II. Motor Impulsiveness	N/A	"sum of 2	3	4	16	 17	19	21	22	23	25	30"	"bis_2motimp	o_bis_fii"
bis_fiii	Integer	N/A	Recommended	Factor III. Non-planning Impulsiveness.	N/A	"sum of 1	 7	 8	 10	  12	  13	 14	 15	 18	 27	 29"	"bis_2npimp	bis_nonplan	bis_nonplanning	o_bis_fiii"
version_form	String	121	Recommended	Form used/assessment name	N/A	N/A	edit_date
bis_parcel1	Float	N/A	Recommended	1. Acts impulsively 	N/A	mean of item 19 and 17	N/A
bis_parcel2	Float	N/A	Recommended	2. Not planful 	N/A	mean of items 1 and 7	N/A
bis_parcel3	Float	N/A	Recommended	3. Can't sit still 	N/A	mean of items 11 and 28	N/A
bis_parcel4	Float	N/A	Recommended	4. Lives in the moment 	N/A	"mean of items 13	 30 and 27"	N/A
bis_parcel5	Float	N/A	Recommended	"5. Changes	 moves around "	N/A	"mean of items 21	 16 and 24"	N/A
bis_parcel6	Float	N/A	Recommended	6. Extraneous/Racing thoughts 	N/A	mean of items 26 and 6	N/A
bis_parcel7	Float	N/A	Recommended	7. No concentration/self-control 	N/A	mean of items 8 and 9	N/A
bis_parcel8	Float	N/A	Recommended	8. Buying and spending sprees 	N/A	"mean of items 10	 25 and 22"	N/A
